,accX,accY,accZ,gyroX,gyroY,gyroZ
0,-0.222656,-0.587402,0.615723,24.291992,-46.112061,31.463623
1,-0.293396,-0.562378,0.582703,68.687439,-126.098633,79.086304
2,-0.319458,-0.560974,0.57312,71.517944,-133.636475,82.382202
3,-0.339539,-0.559265,0.556702,75.98877,-141.891479,87.19635
4,-0.352295,-0.559998,0.540588,79.284668,-145.355225,89.675903
5,-0.379272,-0.568665,0.511108,83.000183,-148.948669,92.384338
6,-0.399536,-0.564819,0.487183,86.654663,-152.954102,94.818115
7,-0.414001,-0.560486,0.448914,91.491699,-157.203674,96.580505
8,-0.421631,-0.554932,0.406738,98.464966,-161.567688,98.213196
9,-0.443237,-0.5578,0.359985,113.59405,-170.99762,102.455139
10,-0.51825,-0.548889,0.266785,118.46923,-175.621033,104.141235
11,-0.540161,-0.540894,0.234802,123.36731,-179.222107,104.324341
12,-0.54718,-0.546875,0.216309,128.10516,-182.044983,104.446411
13,-0.552002,-0.546326,0.182495,132.38525,-185.211182,106.933594
14,-0.584778,-0.610901,0.142334,133.05664,-184.158325,112.030029
15,-0.620789,-0.588562,0.127991,134.52148,-184.013367,117.752075
16,-0.656433,-0.583313,0.099548,133.44574,-184.761047,119.789124
17,-0.665039,-0.590393,0.097961,136.37542,-182.70874,119.026184
18,-0.682495,-0.586914,0.032898,139.5874,-173.126221,117.927551
19,-0.689087,-0.571655,0.0271,137.27569,-170.524597,116.996765
20,-0.697083,-0.572083,0.014954,133.28552,-169.715881,116.05835
21,-0.697449,-0.591248,0.004578,127.81524,-167.884827,117.843628
22,-0.677551,-0.587708,0.017273,125.25177,-167.396545,121.124268
23,-0.660583,-0.591675,0.015503,123.06213,-166.679382,124.610901
24,-0.619812,-0.538757,0.005615,120.23925,-167.617798,125.038147
25,-0.567444,-0.498657,0.014893,119.6289,-171.37146,120.605469
26,-0.565125,-0.489258,0.010681,122.60437,-171.707153,119.087219
27,-0.578125,-0.478271,0.021667,124.6643,-171.638489,117.988586
28,-0.604736,-0.453735,0.047363,126.44195,-171.302795,116.134644
29,-0.61615,-0.446228,0.02063,130.78308,-169.98291,108.856201
30,-0.626282,-0.433105,0.052795,133.30078,-169.540405,105.72052
31,-0.637268,-0.413818,0.079102,136.97052,-169.441223,103.881836
32,-0.651062,-0.386841,0.079346,140.52581,-169.837952,102.561951
33,-0.668823,-0.379578,0.080688,143.34869,-171.096802,101.516724
34,-0.666687,-0.349609,0.078247,142.89093,-182.853699,96.252441
35,-0.595459,-0.340393,0.161621,142.02117,-188.293457,93.063354
36,-0.560913,-0.341614,0.199219,145.38574,-191.574097,92.155457
37,-0.540649,-0.335022,0.21637,151.26037,-193.435669,94.779968
38,-0.486084,-0.31958,0.242615,154.14428,-196.395874,98.426819
39,-0.495667,-0.253967,0.259521,158.09631,-200.180054,107.452393
40,-0.488403,-0.229797,0.308167,164.42871,-204.849243,121.643066
41,-0.565918,-0.184265,0.349243,166.1911,-223.449707,139.816284
42,-0.566895,-0.16571,0.481201,161.36169,-230.957031,147.277832
43,-0.555054,-0.118591,0.418823,154.97589,-219.734192,159.27887
44,-0.576599,-0.134094,0.340759,145.98083,-248.680115,176.635742
45,-0.578918,-0.103699,0.402588,151.64184,-242.645264,182.899475
46,-0.610474,-0.038879,0.28009,153.25927,-250.0,178.344727
47,-0.699158,-0.070679,0.97583,153.64074,-236.26709,162.849426
48,-0.750488,-0.038147,0.358826,167.86193,-209.251404,149.742126
49,-0.846252,-0.205017,0.629639,121.4981,-250.0,114.364624
50,-0.698669,-0.220154,0.470337,104.23278,-239.608765,102.088928
51,-0.619507,-0.109863,0.435852,97.763062,-237.281799,87.867737
52,-0.5401,0.006592,0.596008,109.28344,-250.0,75.782776
53,-0.479126,-0.006104,0.724182,121.85668,-250.0,69.633484
54,-0.52124,-0.114685,0.6875,123.45123,-250.0,71.960449
55,-0.610962,-0.108765,0.642517,121.8872,-250.0,81.825256
56,-0.698792,-0.091675,0.666382,131.91223,-250.0,89.179993
57,-0.719543,-0.071716,0.825684,134.71221,-250.0,83.900452
58,-0.644653,-0.058105,0.848511,136.16943,-250.0,77.941895
59,-0.616943,-0.041443,0.864319,137.71057,-249.107361,76.431274
60,-0.634216,-0.022583,0.872253,140.91491,-243.972778,75.98877
61,-0.631104,-0.013611,0.887085,146.69036,-240.509033,71.258545
62,-0.622498,-0.005615,0.892517,146.3623,-237.365723,69.114685
63,-0.642029,0.006348,0.850647,145.56884,-234.687805,66.604614
64,-0.654175,-0.002197,0.86377,144.45495,-231.636047,63.896179
65,-0.666443,0.001831,0.869873,140.51818,-226.654053,61.553955
66,-0.693726,0.006714,0.856018,134.41467,-220.809937,59.799194
67,-0.719299,0.006714,0.862915,122.93243,-207.084656,57.655334
68,-0.744019,0.0177,0.88739,115.8905,-198.364258,58.418274
69,-0.788391,0.037109,0.919617,108.34503,-190.299988,60.539246
70,-0.789612,0.062622,0.931152,101.02081,-181.70929,63.560486
71,-0.780396,0.076233,0.938171,93.711853,-173.377991,67.5354
72,-0.766113,0.086487,0.940735,86.540222,-164.894104,71.762085
73,-0.710022,0.116211,0.924927,74.455261,-150.779724,78.674316
74,-0.669861,0.115173,0.922852,69.488525,-144.508362,81.65741
75,-0.630005,0.112671,0.911255,64.712524,-138.542175,83.953857
76,-0.582458,0.11322,0.907776,59.22699,-132.781982,84.411621
77,-0.523499,0.113525,0.893982,52.284241,-127.52533,83.007813
78,-0.469299,0.120422,0.874146,38.726807,-117.843628,76.980591
79,-0.362549,0.172974,0.85199,32.737732,-113.41095,71.968079
80,-0.328369,0.160583,0.840698,28.503418,-109.87854,64.842224
81,-0.285645,0.188232,0.860718,26.96991,-108.070374,55.702209
82,-0.278259,0.242249,0.87085,31.059265,-108.222961,32.691956
83,-0.26886,0.267578,0.853394,41.908264,-108.970642,22.613525
84,-0.22052,0.30658,0.793945,63.446045,-102.653503,11.787415
85,-0.247192,0.333557,0.833496,90.530396,-97.717285,-1.853943
86,-0.268372,0.372437,0.865417,117.59185,-96.351624,-14.671326
87,-0.302368,0.355957,0.906128,144.37866,-93.475342,-19.203186
88,-0.279053,0.350586,1.000366,168.19,-87.730408,-19.165039
89,-0.28418,0.42804,0.975403,186.43951,-75.332642,-15.106201
90,-0.309326,0.539001,1.028625,200.11138,-74.890137,-4.142761
91,-0.295959,0.500549,1.041992,197.98278,-80.986023,-0.808716
92,-0.238525,0.406982,1.261292,190.71197,-80.856323,6.538391
93,-0.293884,0.383606,1.121887,174.11804,-71.937561,22.80426
94,-0.339539,0.361816,1.106506,98.7854,-98.960876,73.455811
95,-0.419739,0.329407,1.033936,53.337097,-114.631653,88.027954
96,-0.373535,0.243286,0.923828,12.939453,-129.241943,90.461731
97,-0.329956,0.216736,0.837646,-18.53179,-139.556885,87.791443
98,-0.222473,0.186707,0.872375,-35.49194,-141.853333,82.298279
99,-0.211792,0.222168,0.78595,-31.8222,-125.572205,74.386597
100,-0.17157,0.237366,0.802368,-19.7525,-121.673584,69.778442
101,-0.135986,0.23645,0.888855,-1.838684,-116.943359,65.658569
102,-0.115662,0.273438,0.903076,23.017883,-113.288879,61.782837
103,-0.135681,0.297729,0.911926,50.392151,-107.917786,58.288574
104,-0.132019,0.312683,0.915039,93.231201,-95.89386,53.878784
105,-0.115112,0.348999,0.959229,105.97991,-89.439392,53.565979
106,-0.108887,0.399048,0.991394,115.02838,-81.65741,54.260254
107,-0.067749,0.442139,1.155945,116.37878,-67.184448,54.763794
108,-0.081299,0.50415,1.134521,103.01208,-56.159973,56.129456
109,-0.054077,0.525574,1.159607,44.128418,-63.789368,56.381226
110,0.004761,0.524353,1.150452,11.566162,-73.249817,57.243347
111,0.02655,0.505188,1.128052,-14.77813,-84.640503,59.310913
112,0.020081,0.518677,1.076538,-31.32629,-96.237183,61.088562
113,0.021667,0.55249,1.020935,-38.16986,-105.415344,60.264587
114,-0.092529,0.650085,0.860046,-19.71435,-112.503052,47.203064
115,-0.100281,0.653687,0.799866,-4.386902,-116.096497,33.027649
116,-0.09906,0.696838,0.833496,10.131836,-115.585327,14.122009
117,-0.055359,0.470093,0.929199,27.580261,-112.815857,-3.547668
118,-0.035645,0.381287,0.98407,49.972534,-109.954834,-16.014099
119,0.02771,0.377441,1.026428,71.006775,-105.522156,-28.076172
120,0.097717,0.415649,1.141418,86.212158,-99.365234,-38.299561
121,0.103882,0.395813,1.16156,79.353333,-88.562012,-55.854797
122,0.163391,0.349243,1.235352,60.127258,-88.302612,-61.965942
123,0.195801,0.29895,1.241638,37.940979,-88.661194,-63.095093
124,0.204468,0.252625,1.224976,17.036438,-88.973999,-58.586121
125,0.189331,0.218506,1.189636,-0.511169,-86.143494,-50.376892
126,0.185059,0.197998,1.179077,-15.2893,-73.455811,-29.73175
127,0.204102,0.181152,1.155029,-12.89367,-62.553406,-19.27948
128,0.229797,0.209167,1.135437,-5.325317,-49.6521,-10.719299
129,0.261108,0.226868,1.137878,4.91333,-36.659241,-4.91333
130,0.319641,0.233215,1.157288,14.480591,-24.414063,-1.091003
131,0.371521,0.226929,1.183167,24.765015,3.494263,26.45874
132,0.327881,0.296509,1.188416,22.529602,7.331848,33.607483
133,0.230774,0.289673,1.182373,19.302368,9.651184,39.360046
134,0.178894,0.2901,1.175476,15.853882,10.116577,41.854858
135,0.159119,0.269775,1.164795,12.207031,8.506775,41.175842
136,0.158386,0.247864,1.146301,8.155823,4.882813,38.330078
137,0.151733,0.195129,1.141724,4.745483,-0.114441,32.295227
138,0.167236,0.18573,1.071838,2.929688,-6.599426,23.475647
139,0.188416,0.200073,1.011719,-1.373291,-14.083862,1.419067
140,0.184692,0.213379,1.013489,1.533508,-15.388489,-10.780334
141,0.214844,0.232361,1.016724,8.598328,-14.48822,-21.751404
142,0.271057,0.246704,1.046265,18.043518,-10.894775,-29.335022
143,0.307434,0.245178,1.096741,41.778564,0.938416,-30.235291
144,0.331238,0.248779,1.159241,51.559448,8.18634,-26.786804
145,0.374207,0.251404,1.288147,58.570862,12.969971,-21.92688
146,0.383606,0.292847,1.288635,61.99646,13.938904,-16.403198
147,0.376099,0.317505,1.257385,59.692383,13.504028,-12.733459
148,0.372192,0.329041,1.238281,37.193298,18.356323,-10.879517
149,0.356323,0.418152,1.258301,23.796082,20.553589,-10.322571
150,0.346436,0.462097,1.276672,10.543823,21.842957,-9.681702
151,0.345642,0.482239,1.291748,-1.968384,23.078918,-8.918762
152,0.340576,0.485596,1.280396,-13.05389,24.909973,-7.637024
153,0.332825,0.508545,1.26532,-22.65167,26.435852,-7.041931
154,0.247864,0.45813,1.2276,-31.02111,28.48053,-8.529663
155,0.239929,0.442688,1.215088,-40.45105,33.035278,-22.171021
156,0.206787,0.386902,1.140808,-40.96221,35.02655,-29.075623
157,0.198181,0.368713,1.115723,-42.84668,39.123535,-33.493042
158,0.194397,0.352539,1.114258,-43.45703,50.315857,-33.401489
159,0.227112,0.334656,1.079224,-42.18292,55.19104,-29.373169
160,0.234314,0.327576,1.059204,-41.74804,58.540344,-23.06366
161,0.227661,0.349426,1.028381,-42.26684,59.745789,-14.572144
162,0.209778,0.35498,0.987305,-44.16656,58.71582,-6.187439
163,0.189392,0.364502,0.946167,-47.38616,54.901123,0.099182
164,0.162231,0.365234,0.913391,-51.38397,49.102783,3.913879
165,0.069397,0.322388,0.840576,-59.35668,37.086487,5.584717
166,0.096863,0.313293,0.830933,-62.52288,34.698486,6.248474
167,0.098511,0.279358,0.85199,-62.24823,34.667969,7.987976
168,0.103821,0.254822,0.850098,-55.92346,35.110474,10.33783
169,0.102295,0.235474,0.806396,-46.72241,37.246704,12.34436
170,0.072266,0.25293,0.795166,-27.66418,42.396545,14.198303
171,0.055603,0.217468,0.775818,-18.26477,44.654846,14.801025
172,0.05426,0.20752,0.781616,-10.4599,46.653748,15.090942
173,0.071228,0.194519,0.784607,-4.623413,47.325134,14.533997
174,0.097351,0.191345,0.783508,-0.549316,43.052673,12.161255
175,0.148438,0.172058,0.813477,-1.205444,39.44397,9.841919
176,0.159363,0.213135,0.767517,-4.592896,34.767151,9.765625
177,0.129211,0.202759,0.77124,-10.02502,29.075623,12.283325
178,0.097168,0.260742,0.778625,-14.06097,22.872925,16.235352
179,0.054626,0.265015,0.759399,-14.67895,14.610291,20.530701
180,0.024353,0.273193,0.732788,-14.93072,6.225586,24.604797
181,-0.004883,0.196594,0.753662,-19.61517,-5.111694,30.937195
182,0.006897,0.194275,0.752075,-20.86639,-8.331299,33.470154
183,0.016174,0.199158,0.745056,-22.04895,-9.857178,35.331726
184,0.018311,0.203064,0.74469,-22.96447,-10.604858,36.735535
185,0.033325,0.183228,0.749512,-22.17865,-11.901855,37.742615
186,0.060791,0.173889,0.747559,-17.64679,-11.436462,38.406372
187,0.064636,0.193787,0.740601,-13.68713,-10.452271,38.68103
188,0.026978,0.208679,0.783569,-6.591797,-9.57489,38.902283
189,0.031433,0.221802,0.797363,0.991821,-8.674622,39.176941
190,0.033264,0.254761,0.841003,11.245728,-6.43158,40.939331
191,0.034851,0.276428,0.851196,14.389038,-5.79834,42.358398
192,0.03894,0.295898,0.855652,15.197754,-5.279541,43.998718
193,0.047974,0.299988,0.86261,14.556885,-5.706787,45.333862
194,0.059204,0.291321,0.869385,13.328552,-6.68335,46.401978
195,0.070251,0.287598,0.870178,11.833191,-7.102966,47.233582
196,0.080322,0.28302,0.865234,11.131287,-6.469727,47.50061
197,0.086182,0.281311,0.862732,14.23645,-1.869202,45.24231
198,0.140076,0.244507,0.868774,17.189026,1.014709,42.518616
199,0.169128,0.240479,0.908508,20.645142,4.829407,40.214539
200,0.180359,0.234619,0.926392,25.230408,7.484436,38.726807
201,0.187134,0.234558,0.925964,28.22113,9.170532,37.498474
202,0.189697,0.230591,0.928711,27.854919,10.795593,36.338806
203,0.18866,0.238281,0.927307,22.30072,10.681152,36.216736
204,0.178162,0.269836,0.899414,17.730713,8.560181,37.414551
205,0.151794,0.338989,0.837463,14.190674,4.78363,39.024353
206,0.160767,0.344666,0.80658,12.832642,0.053406,40.95459
207,0.182312,0.321838,0.797607,12.832642,-4.310608,42.572021
208,0.196838,0.300232,0.802246,14.129639,-7.614136,43.861389
209,0.207825,0.288025,0.809509,22.331238,-11.268616,43.449402
210,0.18158,0.286377,0.854797,27.603149,-10.498047,41.511536
211,0.156433,0.297485,0.887512,32.363892,-8.384705,38.749695
212,0.14093,0.301758,0.914001,35.675049,-5.203247,35.591125
213,0.131165,0.299194,0.937927,37.002563,-1.602173,32.272339
214,0.121399,0.306152,0.9505,36.247253,1.846313,28.968811
215,0.125183,0.305237,0.961121,29.251099,5.653381,23.750305
216,0.129517,0.306946,0.955933,24.002075,5.0354,22.468567
217,0.13562,0.30304,0.948547,18.52417,3.27301,22.010803
218,0.142822,0.296082,0.930054,10.658264,-0.610352,23.239136
219,0.152161,0.296997,0.922485,9.628296,-0.854492,25.123596
220,0.159119,0.301575,0.927307,11.108398,-0.572205,27.359009
221,0.158142,0.305298,0.929749,14.801025,0.25177,29.693604
222,0.166504,0.310364,0.934814,19.78302,1.77002,32.440186
223,0.158752,0.306519,0.935547,25.337219,3.692627,35.713196
224,0.135071,0.296936,0.932312,34.820557,7.698059,45.11261
225,0.155823,0.298767,0.933533,37.223816,10.261536,49.781799
226,0.166626,0.284973,0.924438,39.0625,12.130737,53.642273
227,0.153931,0.264404,0.922302,40.496826,13.587952,56.869507
228,0.173218,0.254211,0.913147,42.304993,15.388489,61.61499
229,0.104309,0.518799,0.937317,33.851624,-9.269714,55.046082
230,0.104858,0.522217,0.936218,27.503967,-12.290955,50.094604
231,0.110229,0.518555,0.938904,24.589539,-13.717651,46.714783
232,0.125732,0.504028,0.938171,22.529602,-14.610291,43.106079
233,0.137329,0.482788,0.946838,21.331787,-14.755249,39.573669
234,0.139221,0.467224,0.964661,21.751404,-11.894226,34.27887
235,0.132874,0.460449,0.992859,22.079468,-9.33075,33.203125
236,0.131531,0.46875,0.995361,21.621704,-6.813049,33.622742
237,0.134399,0.484863,0.989685,19.805908,-4.737854,35.476685
238,0.146301,0.505676,0.992798,16.662598,-3.288269,38.497925
239,0.165161,0.525818,0.990234,13.023376,-2.220154,42.137146
240,0.18158,0.526672,0.981934,9.605408,-2.044678,46.051025
241,0.192017,0.520142,0.970642,4.112244,-2.990723,51.445007
