,accX,accY,accZ,gyroX,gyroY,gyroZ
0,0.325195,0.332764,0.812256,14.213562,-4.165649,-62.583923
1,0.331909,0.203857,0.774475,17.89856,2.044678,-150.131226
2,0.331299,0.22406,0.950989,9.315491,-0.343323,-146.873474
3,0.332703,0.240112,1.060791,-3.196716,5.599976,-122.924805
4,0.321716,0.236267,0.961304,-2.670288,3.890991,-108.192444
5,0.24231,0.225586,0.988098,2.540588,2.006531,-92.681885
6,0.179626,0.21582,0.957642,10.5896,-0.656128,-76.751709
7,-0.063599,0.500183,0.915405,11.772156,-0.396729,-60.516357
8,0.044067,0.079468,0.96637,14.732361,0.030518,-47.157288
9,-0.030212,-0.142029,0.982056,23.445129,-2.632141,-43.540955
10,-0.080322,-0.188782,0.992249,23.963928,-5.554199,-40.802002
11,-0.036926,-0.206665,0.998352,17.425537,-5.28717,-34.286499
12,0.032532,-0.236755,0.986084,8.476257,-1.853943,-22.68219
13,0.037842,-0.127686,0.973389,-14.25933,6.576538,-7.69043
14,0.072449,-0.033569,0.997742,-25.72631,10.345459,-8.155823
15,-0.045166,-0.381592,1.143066,-41.96929,15.464783,-7.446289
16,0.076172,-0.110474,1.063843,-85.03723,25.543213,-19.691467
17,0.170654,0.095032,0.971375,-108.0856,29.602051,-25.634766
18,0.148865,0.095703,0.917236,-53.61938,16.51001,-7.43103
19,-0.105957,-0.324524,0.794495,-15.99121,6.645203,-12.908936
20,-0.122986,-0.356323,0.94812,-6.515503,3.265381,-30.250549
21,-0.12262,0.698669,0.845886,-6.43158,3.814697,-50.933838
22,0.08667,-0.235168,1.085083,10.910034,0.656128,-70.091248
23,0.187927,0.05957,0.965332,14.610291,1.594543,-72.402954
24,0.233276,-0.118408,1.022583,14.648438,1.89209,-69.725037
25,0.215454,-0.005371,0.937012,4.684448,0.900269,-39.459229
26,0.111145,-0.047668,0.972778,-2.243042,1.113892,-21.987915
27,0.078857,-0.083374,0.949402,-1.327515,0.961304,-7.995605
28,0.068726,-0.088867,0.965393,2.609253,-0.228882,-2.5177
